userName,userLocation,userDescription,isUserVerified,date,text,source
Alex,Antigua Guatemala,Un eterno optimista,False,2022-09-11 01:24:52+00:00,@CremasOficial @Tigo_GT Solo Lodoño tiene vergüenza. El resto de muertos en especial la defensa.,Twitter for Android
Pablo,"Miami, FL",Fanático de la buena música y adicto al café. Miembro de Los Magios.,False,2022-09-11 01:24:08+00:00,@CremasOficial @Tigo_GT Londoño y 10 más,Twitter for Android
Carlos Gonzales ,Estadio Doroteo Guamuch Flores,Aficionado del único equipo grande de Guate @Cremasoficial,False,2022-09-11 01:23:49+00:00,@CremasOficial @Tigo_GT Londoño y 10 más 🙁,Twitter for iPhone
Comunicaciones FC,Guatemala,"Campeones de la Scotiabank Concacaf League 2021, 31 títulos de Liga y único Hexacampeón Nacional. Comunicaciones F.C. El equipo más grande de #Guatemala.",True,2022-09-11 01:23:11+00:00,"60’ |1-2| ⚽  ¡¡¡GOOOOOOOOOOOOOOOOOOL!!! 

Azarías Londoño

@Tigo_GT 
#Apertura2022 | #VamosCremas https://t.co/W8tjTEjSlJ",Twitter Web App
Bryan Vasquez,GUATEMALA,,False,2022-09-11 01:15:18+00:00,"1 hora y nontengo solución en @Tigo_GT  pésimo servicio al cliente, que fácil decir puede ir agencia si desea resolver el inconveniente… 😡 https://t.co/naUUMaM17D",Twitter for iPhone
Adolfo Garcia Jr,Retalhuleu ,"❤️ Sonia Mateo ❤️
Facebook: Adolfo Garcia Jr
Instagram: adolfo_garcia_jr",False,2022-09-11 01:10:55+00:00,@alexeiiw @Tigo_GT Cierto amigo. Ya consulte y quede decepcionado. Lo iba a contratar inmediatamente 😐 Ahora PASOOO,Twitter for Android
RH,,,False,2022-09-11 00:55:37+00:00,@Tigo_GT Vix+ y La Liga están en TIGO #futbolcontigo FCBarcelona,Twitter for iPad
Mafer,,,False,2022-09-11 00:55:26+00:00,"@Tigo_GT ¿Cómo podrás respirar te falte mi piel? 
Si fuiste tú quién se alejó
#SigueLaMusica",Twitter for iPhone
Mafer,,,False,2022-09-11 00:37:37+00:00,@GonzaloDeDioss @Tigo_GT JAJAJAJAJA,Twitter for iPhone
Mafer,,,False,2022-09-11 00:37:27+00:00,@_Andr32 @Tigo_GT JAJAJAJAJAJ,Twitter for iPhone
Daniel Jünger,,"CEO and Owner NNG
#gopegasus
#flyhigh 
#guatemala 🤘🏻🇬🇹",False,2022-09-11 00:34:34+00:00,@Tigo_GT Vix+ y la Liga están en Tigo #FutbolConTigo @FCBarcelona,Twitter for Android
